Date,Activity Type,Title,Distance,Calories,Total Time,Avg HR,Max HR,Avg Speed,Total Ascent,Total Descent,Steps,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation,Avg Speed Removed,Resting Heart Rate,stress
2024-12-10,Cardio,Bristol Cardio,1.44,594.0,0 days 01:21:46,122.0,171.0,,56.0,56.0,784.0,0 days 01:21:46,1,0 days 00:12:23,0 days 01:21:46,85,50,True,59,42
2024-12-13,Treadmill Running,Treadmill Running,9.14,740.0,0 days 00:57:02,157.0,191.0,0 days 00:06:14,0.0,0.0,421.0,0 days 00:06:24.400000,6,0 days 00:56:29,0 days 00:57:02,85,85,False,58,38
2024-12-18,Cardio,Bristol Cardio,0.02,296.0,0 days 00:26:55,139.0,169.0,,0.0,0.0,706.0,0 days 00:26:55,1,0 days 00:00:14,0 days 00:26:55,105,111,True,59,36
2024-12-24,Surfing,Taghazout Surfing,1.67,722.0,0 days 01:33:28,127.0,173.0,,0.0,0.0,0.0,0 days 01:33:28,1,0 days 00:05:33,0 days 01:33:28,85,85,True,59,36
2024-12-25,Cardio,Taghazout Cardio,1.27,310.0,0 days 01:25:32,88.0,135.0,,23.0,23.0,184.0,0 days 01:25:32,1,0 days 00:08:30,0 days 01:25:32,311,348,True,58,31
2024-12-25,Surfing,Tamri Surfing,1.87,555.0,0 days 01:11:53,127.0,162.0,,0.0,0.0,0.0,0 days 01:11:53,1,0 days 00:07:00,0 days 01:11:59,85,85,True,58,31
2024-12-26,Cardio,Taghazout Cardio,11.74,251.0,0 days 01:30:33,79.0,108.0,,298.0,298.0,344.0,0 days 01:30:33,1,0 days 00:23:48,0 days 01:30:33,101,391,True,58,31
2024-12-27,Surfing,Tamri Surfing,2.67,947.0,0 days 01:52:30,139.0,188.0,,0.0,0.0,0.0,0 days 01:52:30,1,0 days 00:10:13,0 days 01:52:30,85,85,True,58,31
2024-12-27,Cardio,Taghazout Cardio,0.58,213.0,0 days 01:02:17,85.0,119.0,,19.0,19.0,248.0,0 days 01:02:17,1,0 days 00:03:41,0 days 01:02:17,360,383,True,58,31
2024-12-28,Surfing,Tamri Surfing,4.47,861.0,0 days 01:43:21,132.0,184.0,,0.0,0.0,0.0,0 days 01:43:21,1,0 days 00:10:32,0 days 01:43:23,85,85,True,58,31
2024-12-28,Cardio,Taghazout Cardio,0.69,207.0,0 days 01:00:00,89.0,124.0,,64.0,64.0,0.0,0 days 01:00:00,1,0 days 00:03:13,0 days 01:00:00,351,382,True,58,31
2024-12-31,Treadmill Running,Treadmill Running,2.59,264.0,0 days 00:21:37,152.0,195.0,0 days 00:08:21,0.0,0.0,421.0,0 days 00:06:40.100000,2,0 days 00:13:15,0 days 00:21:37,85,85,False,58,31
2024-12-31,Cardio,Bristol Cardio,1.2,319.0,0 days 00:37:34,127.0,165.0,,6.0,6.0,421.0,0 days 00:37:34,1,0 days 00:11:35,0 days 00:37:34,84,91,True,58,31
2025-01-03,Cardio,Cardio,0.0,304.0,0 days 00:39:53,125.0,169.0,,0.0,0.0,658.0,0 days 00:39:53,1,0 days 00:00:00,0 days 00:52:02,84,90,True,59,32
2025-01-04,Treadmill Running,Treadmill Running,4.97,408.0,0 days 00:26:21,171.0,197.0,0 days 00:05:18,0.0,0.0,421.0,0 days 00:00:51.200000,4,0 days 00:26:13,0 days 00:26:21,85,85,False,59,32
2025-01-04,Cardio,Bristol Cardio,1.05,476.0,0 days 01:05:47,121.0,188.0,,10.0,10.0,421.0,0 days 01:05:47,1,0 days 00:11:33,0 days 01:05:47,70,82,True,59,32
2025-01-06,Cardio,Bristol Cardio,1.72,426.0,0 days 00:32:27,161.0,197.0,,14.0,14.0,421.0,0 days 00:32:27,1,0 days 00:13:02,0 days 00:32:27,69,77,True,59,32
2025-01-08,Cardio,Bristol Cardio,0.29,446.0,0 days 01:13:23,109.0,162.0,,0.0,0.0,421.0,0 days 01:13:23,1,0 days 00:02:54,0 days 01:13:23,80,89,True,55,31
2025-01-09,Treadmill Running,Treadmill Running,9.83,859.0,0 days 00:57:37,168.0,192.0,0 days 00:05:52,0.0,0.0,421.0,0 days 00:01:34.500000,7,0 days 00:57:15,0 days 00:57:37,85,85,False,55,31
2025-01-13,Cardio,Bristol Cardio,1.75,396.0,0 days 00:35:25,149.0,193.0,,15.0,15.0,421.0,0 days 00:35:25,1,0 days 00:14:50,0 days 00:35:25,67,80,True,55,31
